date,put_call_ratio,implied_vol_call,implied_vol_put,iv_skew,call_volume,put_volume,call_oi,put_oi
2018-01-31,0.57,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-02-28,0.73,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-04-30,0.6,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-05-31,0.67,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-07-31,1.04,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-08-31,0.52,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-10-31,0.74,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-11-30,0.62,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2018-12-31,0.6,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-01-31,0.63,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-02-28,0.67,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-04-30,0.94,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-05-31,1.3,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-07-31,0.93,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-09-30,0.68,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-10-31,0.92,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2019-12-31,0.57,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
2020-01-31,0.81,0.13640186523437495,0.632816171875,0.49641430664062514,413600,161106.0,43668,26203
